bps_region_code,province,district,poverty_rate,poverty_year,merge_key
5104,BALI,Gianyar,3.71,2025,BALI|GIANYAR
3521,JAWA TIMUR,Ngawi,13.62,2025,JAWA TIMUR|NGAWI
1114,ACEH,Aceh Tamiang,10.84,2025,ACEH|ACEH TAMIANG
1904,KEP. BANGKA BELITUNG,Bangka Tengah,6.7,2025,KEPULAUAN BANGKA BELITUNG|BANGKA TENGAH
7408,SULAWESI TENGGARA,Kolaka Utara,12.94,2025,SULAWESI TENGGARA|KOLAKA UTARA
6401,KALIMANTAN TIMUR,Paser,8.13,2025,KALIMANTAN TIMUR|PASER
3276,JAWA BARAT,Kota Depok,2.31,2025,JAWA BARAT|KOTA DEPOK
3272,JAWA BARAT,Kota Sukabumi,6.9,2025,JAWA BARAT|KOTA SUKABUMI
6471,KALIMANTAN TIMUR,Kota Balikpapan,1.97,2025,KALIMANTAN TIMUR|KOTA BALIKPAPAN
1572,JAMBI,Kota Sungai Penuh,3.23,2025,JAMBI|KOTA SUNGAI PENUH
1671,SUMATERA SELATAN,Kota Palembang,9.04,2025,SUMATERA SELATAN|KOTA PALEMBANG
3371,JAWA TENGAH,Kota Magelang,5.68,2025,JAWA TENGAH|KOTA MAGELANG
5171,BALI,Kota Denpasar,2.16,2025,BALI|KOTA DENPASAR
7312,SULAWESI SELATAN,Soppeng,6.65,2025,SULAWESI SELATAN|SOPPENG
8104,MALUKU,Buru,15.11,2025,MALUKU|BURU
7415,SULAWESI TENGGARA,Buton Selatan,13.64,2025,SULAWESI TENGGARA|BUTON SELATAN
1803,LAMPUNG,Lampung Selatan,12.05,2025,LAMPUNG|LAMPUNG SELATAN
5309,NUSA TENGGARA TIMUR,Flores Timur,10.88,2025,NUSA TENGGARA TIMUR|FLORES TIMUR
1371,SUMATERA BARAT,Kota Padang,3.63,2025,SUMATERA BARAT|KOTA PADANG
3275,JAWA BARAT,Kota Bekasi,3.96,2025,JAWA BARAT|KOTA BEKASI
9702,PAPUA PEGUNUNGAN,Jayawijaya,29.08,2025,PAPUA PEGUNUNGAN|JAYAWIJAYA
6205,KALIMANTAN TENGAH,Barito Utara,5.52,2025,KALIMANTAN TENGAH|BARITO UTARA
1509,JAMBI,Bungo,5.17,2025,JAMBI|BUNGO
6101,KALIMANTAN BARAT,Sambas,6.37,2025,KALIMANTAN BARAT|SAMBAS
5313,NUSA TENGGARA TIMUR,Manggarai,18.1,2025,NUSA TENGGARA TIMUR|MANGGARAI
1902,KEP. BANGKA BELITUNG,Belitung,6.44,2025,KEPULAUAN BANGKA BELITUNG|BELITUNG
3316,JAWA TENGAH,Blora,10.58,2025,JAWA TENGAH|BLORA
8107,MALUKU,Seram Bagian Timur,20.9,2025,MALUKU|SERAM BAGIAN TIMUR
3315,JAWA TENGAH,Grobogan,10.63,2025,JAWA TENGAH|GROBOGAN
1673,SUMATERA SELATAN,Kota Pagar Alam,7.7,2025,SUMATERA SELATAN|KOTA PAGAR ALAM
1872,LAMPUNG,Kota Metro,6.44,2025,LAMPUNG|KOTA METRO
6172,KALIMANTAN BARAT,Kota Singkawang,4.28,2025,KALIMANTAN BARAT|KOTA SINGKAWANG
5107,BALI,Karangasem,6.4,2025,BALI|KARANGASEM
1219,SUMATERA UTARA,Batu Bara,10.1,2025,SUMATERA UTARA|BATU BARA
9271,PAPUA BARAT DAYA,Kota Sorong,13.55,2025,PAPUA BARAT DAYA|KOTA SORONG
3575,JAWA TIMUR,Kota Pasuruan,6.18,2025,JAWA TIMUR|KOTA PASURUAN
5206,NUSA TENGGARA BARAT,Bima,12.59,2025,NUSA TENGGARA BARAT|BIMA
3574,JAWA TIMUR,Kota Probolinggo,5.69,2025,JAWA TIMUR|KOTA PROBOLINGGO
