province,date,temp_mean,temp_max_mean,temp_min_mean,precip_sum,rainy_days,precip_anomaly
Kalimantan Barat,2021-12-01,25.951612903225808,29.83225806451613,23.296774193548387,277.8,26.0,-65.44999999999999
Kalimantan Barat,2022-01-01,25.638709677419353,29.635483870967743,22.858064516129033,163.9,24.0,-170.31999999999996
Kalimantan Barat,2022-02-01,25.72142857142857,30.167857142857144,22.889285714285712,289.1,20.0,54.84000000000003
Kalimantan Barat,2022-03-01,26.47741935483871,30.783870967741933,23.496774193548386,213.4,18.0,-101.22
Kalimantan Barat,2022-04-01,26.396666666666665,30.73,23.709999999999997,284.7,28.0,0.3599999999999568
Kalimantan Barat,2022-05-01,26.470967741935485,30.51290322580645,23.75483870967742,288.4,22.0,-4.6200000000000045
Kalimantan Barat,2022-06-01,25.16,29.176666666666666,22.89333333333333,513.2,30.0,251.28000000000003
Kalimantan Barat,2022-07-01,26.10967741935484,30.14516129032258,23.432258064516127,221.7,23.0,20.900000000000006
Kalimantan Barat,2022-08-01,25.561290322580643,29.509677419354837,23.08709677419355,387.7,26.0,14.974999999999966
Kalimantan Barat,2022-09-01,25.473333333333336,29.533333333333335,23.043333333333333,335.7,27.0,79.92499999999998
Kalimantan Barat,2022-10-01,25.258064516129032,28.996774193548386,23.019354838709678,527.3,30.0,181.27499999999998
Kalimantan Barat,2022-11-01,25.473333333333336,29.15666666666667,23.146666666666665,381.4,27.0,-15.925000000000011
Kalimantan Barat,2022-12-01,25.5,29.406451612903226,22.848387096774193,320.4,25.0,-22.850000000000023
Kalimantan Barat,2023-01-01,25.358064516129033,29.05806451612903,22.812903225806455,314.1,27.0,-20.119999999999948
Kalimantan Barat,2023-02-01,25.728571428571428,29.510714285714283,23.04642857142857,309.3,21.0,75.04000000000002
Kalimantan Barat,2023-03-01,25.370967741935484,29.51290322580645,22.958064516129035,401.9,27.0,87.27999999999997
Kalimantan Barat,2023-04-01,26.59,30.95,23.646666666666665,220.2,21.0,-64.14000000000004
Kalimantan Barat,2023-05-01,27.04516129032258,31.177419354838708,24.106451612903225,201.1,25.0,-91.91999999999999
Kalimantan Barat,2023-06-01,26.709999999999997,30.790000000000003,23.923333333333336,205.5,22.0,-56.420000000000016
Kalimantan Barat,2023-07-01,26.425806451612903,30.580645161290324,23.56451612903226,269.2,18.0,68.4
Kalimantan Barat,2023-08-01,26.54516129032258,31.080645161290324,23.683870967741935,220.6,16.0,-152.12500000000003
Kalimantan Barat,2023-09-01,26.66,31.3,23.783333333333335,258.9,20.0,3.1249999999999716
Kalimantan Barat,2023-10-01,26.348387096774193,31.083870967741937,23.641935483870967,263.5,26.0,-82.52499999999998
Kalimantan Barat,2023-11-01,26.113333333333333,30.209999999999997,23.773333333333333,490.7,29.0,93.375
Kalimantan Barat,2023-12-01,26.0,29.9741935483871,23.683870967741935,518.4,30.0,175.14999999999998
Kalimantan Barat,2024-01-01,25.980645161290322,29.874193548387098,23.761290322580646,471.8,29.0,137.58000000000004
Kalimantan Barat,2024-02-01,26.351724137931036,30.78620689655172,23.727586206896554,323.0,26.0,88.74000000000001
Kalimantan Barat,2024-03-01,26.509677419354837,30.787096774193547,23.851612903225806,403.0,26.0,88.38
Kalimantan Barat,2024-04-01,26.763333333333332,31.05666666666667,24.413333333333334,471.8,27.0,187.45999999999998
Kalimantan Barat,2024-05-01,26.79032258064516,30.62258064516129,24.55483870967742,558.4,31.0,265.38
Kalimantan Barat,2024-06-01,26.526666666666664,30.483333333333334,23.913333333333334,273.8,21.0,11.879999999999995
Kalimantan Barat,2024-07-01,26.993548387096773,31.419354838709676,23.86774193548387,113.3,11.0,-87.49999999999999
Kalimantan Barat,2024-08-01,25.86774193548387,30.112903225806452,23.335483870967742,433.2,27.0,60.474999999999966
Kalimantan Barat,2024-09-01,27.066666666666666,31.55,24.073333333333334,144.9,11.0,-110.875
Kalimantan Barat,2024-10-01,26.51290322580645,30.948387096774194,23.79032258064516,287.0,20.0,-59.02499999999998
Kalimantan Barat,2024-11-01,26.256666666666668,30.323333333333334,23.95,421.6,29.0,24.275000000000034
Kalimantan Barat,2024-12-01,26.606451612903225,30.116129032258065,24.238709677419354,256.4,23.0,-86.85000000000002
Kalimantan Barat,2025-01-01,25.706451612903226,29.509677419354837,23.42258064516129,387.2,28.0,52.98000000000002
Kalimantan Barat,2025-02-01,26.432142857142857,30.849999999999998,23.553571428571427,166.6,19.0,-67.66
Kalimantan Barat,2025-03-01,26.506451612903227,30.612903225806452,23.893548387096775,323.0,24.0,8.379999999999995
Kalimantan Barat,2025-04-01,26.666666666666668,30.85666666666667,24.08,304.8,24.0,20.45999999999998
Kalimantan Barat,2025-05-01,27.677419354838708,31.925806451612903,24.719354838709677,141.4,18.0,-151.61999999999998
Kalimantan Barat,2025-06-01,27.083333333333332,31.029999999999998,24.32,153.4,14.0,-108.52000000000001
Kalimantan Selatan,2021-01-01,25.76774193548387,28.73225806451613,23.738709677419354,738.9,27.0,203.0
Kalimantan Selatan,2021-02-01,26.314285714285713,29.917857142857144,23.8,398.4,25.0,-38.700000000000045
Kalimantan Selatan,2021-03-01,26.15806451612903,29.83225806451613,23.72258064516129,385.1,27.0,-98.23999999999995
Kalimantan Selatan,2021-04-01,26.80666666666667,31.076666666666664,23.676666666666666,217.9,20.0,-148.70000000000002
Kalimantan Selatan,2021-05-01,26.825806451612905,30.57741935483871,24.216129032258067,262.8,26.0,-32.30000000000001
Kalimantan Selatan,2021-06-01,26.52,30.40666666666667,23.796666666666667,187.9,22.0,-63.21999999999997
Kalimantan Selatan,2021-07-01,26.13225806451613,30.193548387096776,23.274193548387096,162.0,14.0,-52.57499999999999
Kalimantan Selatan,2021-08-01,26.009677419354837,29.822580645161292,23.374193548387098,307.7,27.0,128.225
Kalimantan Selatan,2021-09-01,26.013333333333332,29.673333333333336,23.353333333333335,185.9,28.0,1.8750000000000284
Kalimantan Selatan,2021-10-01,26.451612903225808,30.635483870967743,23.700000000000003,233.0,28.0,-20.75
Kalimantan Selatan,2021-11-01,25.85666666666667,29.63,23.513333333333332,603.7,27.0,125.0
Kalimantan Selatan,2021-12-01,25.961290322580645,29.425806451612903,23.616129032258065,560.6,30.0,90.77500000000003
Kalimantan Selatan,2022-01-01,26.17096774193548,30.074193548387097,23.338709677419356,346.7,25.0,-189.2
Kalimantan Selatan,2022-02-01,26.032142857142855,30.110714285714288,23.439285714285713,432.5,26.0,-4.600000000000023
Kalimantan Selatan,2022-03-01,26.45483870967742,30.583870967741937,23.52258064516129,499.0,26.0,15.660000000000025
Kalimantan Selatan,2022-04-01,26.683333333333334,30.84333333333333,23.633333333333333,311.2,26.0,-55.400000000000034
Kalimantan Selatan,2022-05-01,26.583870967741937,30.761290322580646,23.958064516129035,440.4,28.0,145.29999999999995
Kalimantan Selatan,2022-06-01,25.743333333333332,29.773333333333333,23.19,347.4,30.0,96.28
Kalimantan Selatan,2022-07-01,25.864516129032257,30.01290322580645,23.30322580645161,260.2,30.0,45.625
Kalimantan Selatan,2022-08-01,26.0258064516129,30.048387096774192,23.190322580645162,250.1,25.0,70.625
Kalimantan Selatan,2022-09-01,25.896666666666665,30.03666666666667,23.08,339.4,22.0,155.375
Kalimantan Selatan,2022-10-01,25.741935483870968,29.625806451612902,23.25483870967742,488.1,29.0,234.35000000000002
Kalimantan Selatan,2022-11-01,26.223333333333336,29.936666666666667,23.616666666666667,470.6,29.0,-8.100000000000023
Kalimantan Selatan,2022-12-01,26.261290322580646,30.219354838709677,23.451612903225808,344.0,23.0,-125.82499999999999
Kalimantan Selatan,2023-01-01,25.92258064516129,29.538709677419355,23.46451612903226,494.1,30.0,-41.799999999999955
Kalimantan Selatan,2023-02-01,26.017857142857142,29.864285714285717,23.414285714285715,487.7,25.0,50.599999999999966
Kalimantan Selatan,2023-03-01,25.712903225806453,29.661290322580644,23.261290322580646,549.4,31.0,66.06
Kalimantan Selatan,2023-04-01,26.386666666666667,30.55,23.596666666666668,433.3,29.0,66.69999999999999
Kalimantan Selatan,2023-05-01,27.12258064516129,31.374193548387098,24.25483870967742,186.3,23.0,-108.80000000000001
Kalimantan Selatan,2023-06-01,26.696666666666665,30.959999999999997,23.773333333333333,203.9,19.0,-47.21999999999997
Kalimantan Selatan,2023-07-01,26.083870967741937,30.13225806451613,23.135483870967743,288.1,17.0,73.52500000000003
Kalimantan Selatan,2023-08-01,27.58709677419355,33.196774193548386,23.309677419354838,25.0,4.0,-154.475
Kalimantan Selatan,2023-09-01,27.88,34.00666666666667,23.243333333333332,85.7,8.0,-98.32499999999997
Kalimantan Selatan,2023-10-01,28.480645161290322,34.87419354838709,23.970967741935485,100.60000000000001,15.0,-153.14999999999998
Kalimantan Selatan,2023-11-01,27.133333333333333,32.32666666666667,24.12,327.9,27.0,-150.80000000000007
Kalimantan Selatan,2023-12-01,26.638709677419353,31.161290322580644,23.98709677419355,503.4,28.0,33.57499999999999
Kalimantan Selatan,2024-01-01,26.335483870967742,30.293548387096774,23.970967741935485,620.4,30.0,84.5
Kalimantan Selatan,2024-02-01,26.74827586206897,31.175862068965518,24.06896551724138,534.3,26.0,97.19999999999993
Kalimantan Selatan,2024-03-01,27.04516129032258,31.306451612903224,24.37741935483871,549.4,29.0,66.06
Kalimantan Selatan,2024-04-01,27.08,31.61,24.496666666666666,470.6,29.0,104.0
Kalimantan Selatan,2024-05-01,27.396774193548385,31.58709677419355,24.838709677419356,313.7,29.0,18.599999999999966
Kalimantan Selatan,2024-06-01,26.316666666666666,30.459999999999997,23.759999999999998,294.2,26.0,43.08000000000001
